,ls_ret,value,cumulative_ret,MKTRF,SMB,HML,RF,MOM,DATE,yyyymm,ls_sub_rf
199801,0.06783805476305514,221674729.875,56.09298727803991,0.0015,-0.0106,-0.0163,0.0043,0.0014000000000000002,1998-01-30,199801,0.06353805476305514
199802,0.00751336795510725,471359285.4375,56.514434531160965,0.0704,0.0032,-0.0085,0.0039000000000000003,-0.011200000000000002,1998-02-27,199802,0.00361336795510725
199803,0.04169130006006787,412282980.0625,58.870594778924655,0.047599999999999996,-0.011399999999999999,0.0139,0.0039000000000000003,0.0215,1998-03-31,199803,0.03779130006006787
199804,0.06298957421983543,529946661.9375,62.578828478117586,0.0073,0.0007000000000000001,0.009399999999999999,0.0043,0.0074,1998-04-30,199804,0.058689574219835436
199805,0.04187595987847693,389908070.625,65.19937698870933,-0.030699999999999998,-0.0336,0.034,0.004,0.0182,1998-05-29,199805,0.03787595987847693
199806,0.028424112824723145,299259226.75,67.05261143633807,0.0318,-0.032,-0.0197,0.0040999999999999995,0.0728,1998-06-30,199806,0.024324112824723146
199807,-0.009239530926080139,309236463.75,66.43307675929759,-0.0246,-0.0492,-0.0178,0.004,0.0369,1998-07-31,199807,-0.013239530926080139
199808,-0.07948927146693074,538859710.3125,61.152359886394336,-0.16079999999999997,-0.057,0.0353,0.0043,0.0184,1998-08-31,199808,-0.08378927146693074
199809,0.10185487376293169,233041234.625,67.3810257829284,0.061500000000000006,0.001,-0.0342,0.0046,-0.008100000000000001,1998-09-30,199809,0.09725487376293168
199810,0.08396581316513842,616411323.5625,73.03872840469315,0.0713,-0.031200000000000002,-0.0223,0.0032,-0.0537,1998-10-30,199810,0.08076581316513842
199811,-0.0061631932690301705,172481618.4375,72.58857660541082,0.061,0.012199999999999999,-0.0325,0.0031,0.012,1998-11-30,199811,-0.00926319326903017
199812,-0.032802762153248,651059906.3125,70.20747079198071,0.0616,-0.005,-0.04190000000000001,0.0038,0.0892,1998-12-31,199812,-0.036602762153247995
199901,0.0615686511155218,108768896.65625,74.53005006687536,0.035,0.0076,-0.046,0.0034999999999999996,0.030299999999999997,1999-01-29,199901,0.0580686511155218
